hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
01/01/18 11,143,514,81,120,30,83,81,514
01/01/18 12,205,659,77,143,41,100,77,659
01/01/18 13,214,751,157,267,60,117,157,751
01/01/18 14,286,725,155,290,42,114,155,725
01/01/18 15,232,652,190,326,63,144,190,652
01/01/18 16,381,800,224,421,53,157,224,800
01/01/18 17,456,1433,372,614,54,225,372,1433
01/01/18 18,283,1220,460,559,45,197,460,1220
01/01/18 19,365,1245,407,453,56,260,407,1245
01/01/18 20,380,1385,364,405,44,208,364,1385
01/01/18 21,306,1342,378,402,47,235,378,1342
01/01/18 22,347,1187,229,332,38,241,229,1187
01/01/18 23,202,1021,241,266,34,158,241,1021
02/01/18 00,65,385,304,309,33,88,304,385
02/01/18 01,108,475,106,177,17,60,106,475
02/01/18 02,45,329,49,83,4,70,49,329
02/01/18 03,44,226,49,63,4,31,49,226
02/01/18 04,74,261,34,75,8,18,34,261
02/01/18 05,80,301,62,82,20,62,62,301
02/01/18 06,130,558,181,245,29,117,181,558
02/01/18 07,137,590,220,261,42,173,220,590
02/01/18 08,266,755,237,296,30,192,237,755
02/01/18 09,107,745,189,236,46,179,189,745
02/01/18 10,277,789,188,238,30,191,188,789
02/01/18 11,319,777,190,251,61,189,190,777
02/01/18 12,517,961,210,283,104,258,210,961
02/01/18 13,874,1045,220,293,46,212,220,1045
02/01/18 14,865,986,242,236,51,192,242,986
02/01/18 15,303,865,206,279,54,208,206,865
02/01/18 16,348,999,324,366,63,247,324,999
02/01/18 17,263,1540,438,467,57,225,438,1540
02/01/18 18,220,1383,382,526,26,203,382,1383
02/01/18 19,271,1199,539,479,24,154,539,1199
02/01/18 20,1025,1325,420,455,39,196,420,1325
02/01/18 21,439,1341,309,438,36,137,309,1341
02/01/18 22,343,1319,324,376,41,132,324,1319
02/01/18 23,218,1130,365,378,24,130,365,1130
03/01/18 00,71,627,181,231,44,81,181,627
03/01/18 01,72,591,170,191,17,80,170,591
03/01/18 02,67,351,63,93,10,49,63,351
03/01/18 03,99,184,52,85,5,69,52,184
03/01/18 04,84,220,39,64,11,79,39,220
03/01/18 05,24,387,62,89,21,108,62,387
03/01/18 06,56,569,176,288,23,152,176,569
03/01/18 07,77,650,253,296,23,183,253,650
03/01/18 08,67,787,232,263,32,199,232,787
03/01/18 09,112,841,244,273,61,203,244,841
03/01/18 10,416,959,135,144,88,83,135,959
03/01/18 11,900,1145,65,86,88,53,65,1145
03/01/18 12,588,1070,141,146,99,122,141,1070
03/01/18 13,424,1058,174,183,86,136,174,1058
03/01/18 14,618,976,192,274,70,191,192,976
03/01/18 15,294,945,208,264,40,162,208,945
03/01/18 16,364,1082,215,277,58,216,215,1082
03/01/18 17,462,1582,426,521,55,188,426,1582
03/01/18 18,248,1429,425,444,51,191,425,1429
03/01/18 19,283,1153,454,473,32,209,454,1153
03/01/18 20,348,1227,383,432,35,148,383,1227
03/01/18 21,304,1190,385,421,28,148,385,1190
03/01/18 22,277,1170,332,416,37,147,332,1170
03/01/18 23,289,1042,286,396,39,92,286,1042
04/01/18 00,161,791,179,268,14,98,179,791
04/01/18 01,132,458,113,159,13,56,113,458
04/01/18 02,100,263,49,96,3,44,49,263
04/01/18 03,71,206,48,65,8,29,48,206
04/01/18 04,58,228,16,45,6,29,16,228
04/01/18 05,113,332,81,79,13,71,81,332
04/01/18 06,158,648,244,344,35,110,244,648
04/01/18 07,284,686,236,275,18,163,236,686
04/01/18 08,316,823,214,300,41,185,214,823
04/01/18 09,191,809,245,273,42,194,245,809
04/01/18 10,247,830,214,265,36,173,214,830
04/01/18 11,585,1058,186,193,83,144,186,1058
04/01/18 12,849,1010,68,75,65,59,68,1010
04/01/18 13,992,1085,28,66,93,84,28,1085
04/01/18 14,1029,1001,63,63,59,18,63,1001
04/01/18 15,590,984,115,157,116,88,115,984
04/01/18 16,424,1202,261,372,89,169,261,1202
04/01/18 17,548,1501,345,414,106,197,345,1501
04/01/18 18,295,1201,330,440,55,246,330,1201
04/01/18 19,236,1211,357,350,37,188,357,1211
04/01/18 20,353,1062,412,320,39,210,412,1062
04/01/18 21,369,1022,392,380,36,190,392,1022
04/01/18 22,306,1058,253,321,25,177,253,1058
04/01/18 23,211,888,205,305,21,132,205,888
05/01/18 00,319,685,181,279,20,132,181,685
05/01/18 01,162,413,97,143,12,102,97,413
05/01/18 02,97,293,79,96,9,62,79,293
05/01/18 03,119,130,28,47,7,74,28,130
05/01/18 04,84,142,26,55,7,46,26,142
05/01/18 05,94,275,52,88,16,72,52,275
05/01/18 06,139,468,326,286,25,132,326,468
05/01/18 07,208,576,208,294,37,127,208,576
05/01/18 08,317,760,236,249,38,154,236,760
05/01/18 09,413,828,229,307,40,178,229,828
05/01/18 10,415,900,233,289,33,177,233,900
05/01/18 11,722,962,144,165,83,92,144,962
05/01/18 12,377,790,140,177,124,148,140,790
05/01/18 13,884,1034,76,75,82,22,76,1034
05/01/18 14,572,1008,155,189,83,125,155,1008
05/01/18 15,309,878,141,211,78,148,141,878
05/01/18 16,369,1036,180,272,60,168,180,1036
05/01/18 17,484,1487,466,430,59,251,466,1487
05/01/18 18,334,1298,350,419,60,262,350,1298
05/01/18 19,279,1158,484,431,38,217,484,1158
05/01/18 20,397,1207,425,484,37,221,425,1207
05/01/18 21,388,1169,379,412,44,183,379,1169
05/01/18 22,364,1061,311,441,47,174,311,1061
05/01/18 23,240,1024,256,298,33,205,256,1024
06/01/18 00,188,882,222,235,17,139,222,882
06/01/18 01,232,578,155,200,16,132,155,578
06/01/18 02,140,319,110,160,9,118,110,319
06/01/18 03,84,261,90,108,12,98,90,261
06/01/18 04,813,220,50,74,12,73,50,220
06/01/18 05,5979,339,45,75,26,92,45,339
06/01/18 06,3265,594,139,147,27,85,139,594
06/01/18 07,91,371,86,122,27,75,86,371
06/01/18 08,115,420,140,171,22,102,140,420
06/01/18 09,119,594,174,184,32,117,174,594
06/01/18 10,88,627,164,212,46,152,164,627
