hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
01/12/17 11,205,1012,221,256,92,254,221,1012
01/12/17 12,810,1175,251,297,115,292,251,1175
01/12/17 13,1184,1246,238,307,42,224,238,1246
01/12/17 14,1034,981,149,113,93,125,149,981
01/12/17 15,287,973,207,225,67,183,207,973
01/12/17 16,299,1230,298,426,73,233,298,1230
01/12/17 17,494,1933,385,479,87,262,385,1933
01/12/17 18,561,1694,443,465,60,249,443,1694
01/12/17 19,210,1264,353,482,50,222,353,1264
01/12/17 20,278,1324,353,483,40,217,353,1324
01/12/17 21,317,1338,407,406,47,208,407,1338
01/12/17 22,312,1240,388,412,27,207,388,1240
01/12/17 23,95,671,206,183,61,136,206,671
02/12/17 00,101,620,198,180,39,114,198,620
02/12/17 01,98,503,160,182,21,89,160,503
02/12/17 02,110,389,156,185,20,92,156,389
02/12/17 03,195,334,162,208,9,112,162,334
02/12/17 04,76,268,68,75,8,71,68,268
02/12/17 05,83,375,58,101,15,54,58,375
02/12/17 06,73,365,100,147,10,62,100,365
02/12/17 07,122,548,164,211,31,114,164,548
02/12/17 08,104,666,155,235,41,131,155,666
02/12/17 09,201,775,163,227,41,171,163,775
02/12/17 10,459,811,211,244,50,203,211,811
02/12/17 11,458,933,163,233,63,257,163,933
02/12/17 12,1081,1081,204,271,95,249,204,1081
02/12/17 13,1293,1181,218,275,49,206,218,1181
02/12/17 14,548,831,207,257,52,159,207,831
02/12/17 15,132,756,193,251,16,146,193,756
02/12/17 16,217,853,284,328,46,171,284,853
02/12/17 17,220,1149,344,406,40,195,344,1149
02/12/17 18,270,1166,345,411,44,172,345,1166
02/12/17 19,295,1261,383,518,33,191,383,1261
02/12/17 20,386,1391,359,464,33,228,359,1391
02/12/17 21,334,1434,413,469,35,203,413,1434
02/12/17 22,271,1306,311,390,50,186,311,1306
02/12/17 23,217,1205,242,328,24,146,242,1205
03/12/17 00,181,999,250,307,33,120,250,999
03/12/17 01,150,732,192,196,18,99,192,732
03/12/17 02,106,500,115,136,15,93,115,500
03/12/17 03,110,333,87,113,8,63,87,333
03/12/17 04,98,231,33,58,12,41,33,231
03/12/17 05,68,354,67,74,22,51,67,354
03/12/17 06,53,353,62,91,16,46,62,353
03/12/17 07,39,371,52,106,14,48,52,371
03/12/17 08,99,454,65,102,15,51,65,454
03/12/17 09,92,504,67,144,21,70,67,504
03/12/17 10,293,659,45,179,44,122,45,659
03/12/17 11,232,726,1,228,53,191,1,726
03/12/17 12,881,1071,72,305,66,207,72,1071
03/12/17 13,1001,926,137,253,48,143,137,926
03/12/17 14,639,840,136,294,60,152,136,840
03/12/17 15,178,602,113,293,54,123,113,602
03/12/17 16,151,865,236,436,57,154,236,865
03/12/17 17,314,1145,426,700,65,227,426,1145
03/12/17 18,185,1112,508,788,54,211,508,1112
03/12/17 19,194,1200,460,691,45,182,460,1200
