hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
10/11/17 11,834,1049,205,210,93,219,205,1049
10/11/17 12,874,885,233,324,130,302,233,885
10/11/17 13,1055,1112,223,272,102,195,223,1112
10/11/17 14,828,923,189,262,80,197,189,923
10/11/17 15,228,838,192,280,58,179,192,838
10/11/17 16,269,905,220,286,65,203,220,905
10/11/17 17,346,1511,422,512,68,265,422,1511
10/11/17 18,245,1451,378,479,55,247,378,1451
10/11/17 19,168,1298,424,518,45,212,424,1298
10/11/17 20,254,1372,391,481,76,227,391,1372
10/11/17 21,331,1298,331,405,61,203,331,1298
10/11/17 22,243,1170,295,385,40,153,295,1170
10/11/17 23,239,1015,295,327,30,144,295,1015
11/11/17 00,116,858,233,270,14,139,233,858
11/11/17 01,102,524,145,196,24,82,145,524
11/11/17 02,53,444,81,151,17,88,81,444
11/11/17 03,82,331,173,137,11,82,173,331
11/11/17 04,64,250,39,56,12,32,39,250
11/11/17 05,61,355,47,67,13,44,47,355
11/11/17 06,69,416,87,108,24,57,87,416
11/11/17 07,316,563,154,184,26,153,154,563
11/11/17 08,739,713,188,235,29,129,188,713
11/11/17 09,907,875,108,151,55,181,108,875
11/11/17 10,787,1060,207,220,53,171,207,1060
11/11/17 11,579,845,187,264,64,230,187,845
11/11/17 12,883,974,213,269,81,248,213,974
11/11/17 13,777,1029,196,292,80,204,196,1029
11/11/17 14,949,964,196,293,80,198,196,964
11/11/17 15,173,696,168,272,49,155,168,696
11/11/17 16,196,807,215,331,99,156,215,807
11/11/17 17,324,817,444,594,138,213,444,817
11/11/17 18,273,997,481,755,79,269,481,997
11/11/17 19,279,1097,504,649,42,236,504,1097
11/11/17 20,70,1458,484,660,46,274,484,1458
11/11/17 21,140,1382,452,513,52,239,452,1382
11/11/17 22,257,1343,341,449,57,166,341,1343
11/11/17 23,289,1205,306,386,43,162,306,1205
12/11/17 00,441,915,246,296,23,151,246,915
12/11/17 01,360,626,159,215,28,87,159,626
12/11/17 02,339,273,81,131,23,67,81,273
12/11/17 03,273,220,65,114,22,52,65,220
12/11/17 04,142,137,59,108,27,65,59,137
12/11/17 05,208,180,51,119,13,80,51,180
12/11/17 06,215,159,6,10,4,13,6,159
12/11/17 07,207,176,17,60,8,36,17,176
12/11/17 08,39,64,6,2,10,84,6,64
12/11/17 09,638,636,320,409,26,187,320,636
12/11/17 10,466,407,248,460,40,60,248,407
12/11/17 11,242,259,33,70,96,132,33,259
12/11/17 12,573,702,86,204,43,151,86,702
12/11/17 13,599,839,169,287,51,152,169,839
